Pair,Signal,Accuracy,Win Rate,Status
AUDCAD,BUY,65.17%,65.17%,✅ Certified
AUDCAD,SELL,60.34%,60.34%,✅ Certified
AUDCHF,BUY,72.49%,72.49%,✅ Certified
AUDCHF,SELL,70.09%,70.09%,✅ Certified
AUDJPY,BUY,60.05%,60.05%,✅ Certified
AUDJPY,SELL,62.51%,62.51%,✅ Certified
AUDNZD,BUY,66.15%,66.15%,✅ Certified
AUDNZD,SELL,61.49%,61.49%,✅ Certified
AUDUSD,BUY,67.58%,67.58%,✅ Certified
AUDUSD,SELL,69.78%,69.78%,✅ Certified
CADCHF,BUY,86.14%,86.14%,✅ Certified
CADCHF,SELL,65.63%,65.63%,✅ Certified
CADJPY,BUY,66.45%,66.45%,✅ Certified
CADJPY,SELL,66.94%,66.94%,✅ Certified
CHFJPY,BUY,60.48%,60.48%,✅ Certified
CHFJPY,SELL,63.19%,63.19%,✅ Certified
EURAUD,BUY,60.90%,60.90%,✅ Certified
EURAUD,SELL,62.87%,62.87%,✅ Certified
EURCAD,BUY,61.15%,61.15%,✅ Certified
EURCAD,SELL,63.03%,63.03%,✅ Certified
EURCHF,BUY,85.30%,85.30%,✅ Certified
EURCHF,SELL,60.18%,60.18%,✅ Certified
EURGBP,BUY,67.85%,67.85%,✅ Certified
EURGBP,SELL,72.62%,72.62%,✅ Certified
EURJPY,SELL,63.58%,63.58%,✅ Certified
EURNZD,SELL,60.38%,60.38%,✅ Certified
EURSGD,BUY,69.21%,69.21%,✅ Certified
EURSGD,SELL,65.33%,65.33%,✅ Certified
EURUSD,BUY,60.26%,60.26%,✅ Certified
EURUSD,SELL,60.10%,60.10%,✅ Certified
GBPAUD,BUY,67.29%,67.29%,✅ Certified
GBPAUD,SELL,60.14%,60.14%,✅ Certified
GBPCAD,BUY,63.86%,63.86%,✅ Certified
GBPCAD,SELL,61.41%,61.41%,✅ Certified
GBPCHF,BUY,67.24%,67.24%,✅ Certified
GBPCHF,SELL,62.15%,62.15%,✅ Certified
GBPJPY,BUY,61.61%,61.61%,✅ Certified
GBPJPY,SELL,63.49%,63.49%,✅ Certified
GBPNZD,BUY,79.12%,79.12%,✅ Certified
GBPNZD,SELL,63.74%,63.74%,✅ Certified
GBPUSD,BUY,63.96%,63.96%,✅ Certified
GBPUSD,SELL,65.02%,65.02%,✅ Certified
NZDCAD,BUY,60.75%,60.75%,✅ Certified
NZDCAD,SELL,61.92%,61.92%,✅ Certified
NZDCHF,BUY,85.26%,85.26%,✅ Certified
NZDJPY,BUY,61.12%,61.12%,✅ Certified
NZDJPY,SELL,61.94%,61.94%,✅ Certified
NZDUSD,BUY,85.56%,85.56%,✅ Certified
NZDUSD,SELL,82.89%,82.89%,✅ Certified
USDCAD,BUY,60.44%,60.44%,✅ Certified
USDCAD,SELL,63.74%,63.74%,✅ Certified
USDCHF,BUY,62.29%,62.29%,✅ Certified
USDCHF,SELL,62.13%,62.13%,✅ Certified
USDHKD,BUY,67.07%,67.07%,✅ Certified
USDHKD,SELL,63.22%,63.22%,✅ Certified
USDJPY,BUY,62.97%,62.97%,✅ Certified
USDJPY,SELL,68.35%,68.35%,✅ Certified
USDSGD,BUY,60.45%,60.45%,✅ Certified
USDSGD,SELL,61.64%,61.64%,✅ Certified
